car_list,,,,,,,,,,,,,,,,,,,,,,,,,
모델명,제조사,유종,배기량,공차중량,변속형식,도심주행연비,고속도로주행연비,복합연비,등급,CO2배출량,연비신고구분,국산/수입,자동차형식,자동차종류,승차정원,엔진형식,최고출력(ps/rpm),최고토크(kgm/rpm),연료공급방식,변속형식,굴림방식,타이어사이즈(전),타이어사이즈(후),연료탱크용량(ℓ),자동차유형
DS4 Crossback 1.5 BlueHDi,,경유,"1,499cc","1,475kg",자동8,14.9㎞/ℓ,18.1㎞/ℓ,16.2㎞/ℓ,1등급,115g/km,3개 부처 공동고시,수입,내연기관,승용차,5,YH01,"131/3,750","30.61/1,750",직접분사,자동8,FF,205/55R19,205/55R19,53,일반형
Q2 35 TDI,아우디,경유,"1,968cc","1,475kg",자동7,15.5㎞/ℓ,18.5㎞/ℓ,16.7㎞/ℓ,1등급,111g/km,3개 부처 공동고시,수입,내연기관,승용차,5,DTT,150/3000-4200,36.7/1600-2750,직접분사,자동7,FF,235/40R19,235/40R19,50,다목적형
아반떼 1.6GDI 하이브리드 (16“타이어)(22MY),현대,휘발유,"1,580cc","1,335kg",자동6,21.4㎞/ℓ,20.7㎞/ℓ,21.1㎞/ℓ,1등급,74g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LE,105/5700,15.0/4000,직접분사,자동6,FF,205/55R16,205/55R16,42,일반형
아반떼 1.6GDI 하이브리드 (17“타이어)(22MY),현대,휘발유,"1,580cc","1,350kg",자동6,20.3㎞/ℓ,18.6㎞/ℓ,19.5㎞/ℓ,1등급,81g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LE,105/5700,15.0/4000,직접분사,자동6,FF,225/45R17,225/45R17,42,일반형
Peugeot New 308 1.5 BlueHDi,,경유,"1,499cc","1,390kg",자동8,15.6㎞/ℓ,19.6㎞/ℓ,17.2㎞/ℓ,1등급,108g/km,3개 부처 공동고시,수입,내연기관,승용차,5,YH01,"131/3,750","30.61/1,750",직접분사,자동8,FF,225/40R18,225/40R18,53,일반형
Peugeot 2008 1.5 BlueHDi,,경유,"1,499cc","1,345kg",자동8,15.7㎞/ℓ,19.0㎞/ℓ,17.1㎞/ℓ,1등급,109g/km,3개 부처 공동고시,수입,내연기관,승용차,5,YH01,131/3750,30.61/1750,직접분사,자동8,FF,215/65R16,215/65R16,45,다목적형
니로(SG2) 1.6GDI 하이브리드 18인치,기아,휘발유,"1,580cc","1,445kg",자동6,20.0㎞/ℓ,18.1㎞/ℓ,19.1㎞/ℓ,1등급,82g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LL,105/5700,14.7/4000,직접분사,자동6,FF,225/45R18,225/45R18,42,기타형
니로(SG2) 1.6GDI 하이브리드 16인치 빌트인캠,기아,휘발유,"1,580cc","1,405kg",자동6,21.4㎞/ℓ,19.5㎞/ℓ,20.5㎞/ℓ,1등급,76g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LL,105/5700,14.7/4000,직접분사,자동6,FF,205/60R16,205/60R16,42,기타형
니로(SG2) 1.6GDI 하이브리드 16인치,기아,휘발유,"1,580cc","1,405kg",자동6,21.9㎞/ℓ,19.6㎞/ℓ,20.8㎞/ℓ,1등급,75g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LL,105/5700,14.7/4000,직접분사,자동6,FF,205/60R16,205/60R16,42,기타형
니로(SG2) 1.6GDI 하이브리드 18인치 빌트인캠,기아,휘발유,"1,580cc","1,445kg",자동6,19.8㎞/ℓ,17.7㎞/ℓ,18.8㎞/ℓ,1등급,84g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LL,105/5700,14.7/4000,직접분사,자동6,FF,225/45R18,225/45R18,42,기타형
스포티지 1.6T-GDI 하이브리드 6AT (빌트인캠),기아,휘발유,"1,598cc","1,625kg",자동6,16.6㎞/ℓ,15.8㎞/ℓ,16.3㎞/ℓ,1등급,99g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,235/60R18,235/60R18,52,다목적형
스포티지 1.6T-GDI 하이브리드 6AT,기아,휘발유,"1,598cc","1,625kg",자동6,17.4㎞/ℓ,15.9㎞/ℓ,16.7㎞/ℓ,1등급,96g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,235/60R18,235/60R18,52,다목적형
렉서스 ES300h,토요타,휘발유,"2,487cc","1,680kg",무단변속,17.3㎞/ℓ,16.3㎞/ℓ,16.8㎞/ℓ,1등급,92g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,2WD,235/40R19,235/40R19,49.3,일반형
렉서스 ES300h,토요타,휘발유,"2,487cc","1,680kg",무단변속,17.3㎞/ℓ,17.1㎞/ℓ,17.2㎞/ℓ,1등급,91g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,2WD,235/45R18,235/45R18,49.3,일반형
Golf 2.0TDI,폭스바겐,경유,"1,968cc","1,489kg",자동7,15.7㎞/ℓ,21.3㎞/ℓ,17.8㎞/ℓ,1등급,104g/km,3개 부처 공동고시,수입,내연기관,승용차,5,DTS,150/3000-4200,36.7/1600-2750,직접분사,자동7,FF,225/45 R17,225/45 R17,51.5,일반형
T-Roc 2.0TDI,폭스바겐,경유,"1,968cc","1,491kg",자동7,15.2㎞/ℓ,17.6㎞/ℓ,16.2㎞/ℓ,1등급,115g/km,3개 부처 공동고시,수입,내연기관,승용차,5,DTT,150/3000-4200,36.7/1600-2750,직접분사,자동7,FF,215/50 R18,215/50 R18,50.8,다목적형
K8 1.6TGDI 하이브리드 18인치 (빌트인캠),기아,휘발유,"1,598cc","1,650kg",자동6,16.9㎞/ℓ,16.6㎞/ℓ,16.8㎞/ℓ,1등급,96g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,245/45R18,245/45R18,50,일반형
K8 1.6TGDI 하이브리드 18인치,기아,휘발유,"1,598cc","1,650kg",자동6,17.2㎞/ℓ,16.9㎞/ℓ,17.1㎞/ℓ,1등급,94g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,245/45R18,245/45R18,50,일반형
K8 1.6TGDI 하이브리드 17인치 (빌트인캠),기아,휘발유,"1,598cc","1,630kg",자동6,17.6㎞/ℓ,17.7㎞/ℓ,17.6㎞/ℓ,1등급,91g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,225/55R17,225/55R17,50,일반형
K8 1.6TGDI 하이브리드 17인치,기아,휘발유,"1,598cc","1,630kg",자동6,18.2㎞/ℓ,17.7㎞/ℓ,18.0㎞/ℓ,1등급,88g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,225/55R17,225/55R17,50,일반형
쏘나타(DN8) 2.0GDI 하이브리드_17인치타이어_22MY,현대,휘발유,"1,999cc","1,515kg",자동6,19.0㎞/ℓ,19.1㎞/ℓ,19.1㎞/ℓ,1등급,83g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
쏘나타(DN8) 하이브리드_17인치(빌트인캠)_22MY,현대,휘발유,"1,999cc","1,515kg",자동6,18.4㎞/ℓ,19.1㎞/ℓ,18.8㎞/ℓ,1등급,85g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어_22MY,현대,휘발유,"1,999cc","1,525kg",자동6,18.1㎞/ℓ,17.8㎞/ℓ,18.0㎞/ℓ,1등급,88g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,235/45R18,235/45R18,50,일반형
